,address,num_bedroom,num_bathroom,price,post_code,latitude,longitude,neighborhood,ptype,size
2220,107-1715 Adirondack Chase,2 bd,2 ba,"449,900",L1V2P8,43.878658,-79.0858,Duffin Heights,condo,1000-1199 sqft
2221,303-195 Lake Driveway Way,2 bd,2 ba,"359,999",L1V2P8,43.824265,-79.034706,Duffin Heights,condo,900-999 sqft
2222,206-1890 Valley Farm Road,2 bd,2 ba,"539,900",L1V2P8,43.84079,-79.08255,Duffin Heights,condo,1200-1399 sqft
2223,831-1880 Valley Farm Road,2 bd,2 ba,"529,000",L1V2P8,43.839653,-79.082558,Duffin Heights,condo,1000-1199 sqft
2224,111-1975 Rosefield Road,3 bd,2 ba,"479,000",L1V2P8,43.845066,-79.088348,Duffin Heights,condo,1000-1199 sqft
2225,303-1210 Radom Street,3 bd,2 ba,"445,000",L1V2P8,43.825951,-79.090866,Duffin Heights,condo,1200-1399 sqft
2226,43-735 Sheppard Avenue,3 bd,3 ba,"595,999",L1V2P8,43.82198,-79.116241,Duffin Heights,condo,1600-1799 sqft
2227,401-1215 Bayly Street,1 bd,1 ba,"369,900",L1V2P8,43.827087,-79.091583,Duffin Heights,condo,500-599 sqft
2228,64-1865 Kingston Road,3 bd,2 ba,"475,000",L1V2P8,43.851505,-79.067215,Duffin Heights,condo,1200-1399 sqft
2229,5-1775 Valley Farm Road,3 bd,2 ba,"489,900",L1V2P8,43.837574,-79.080231,Bay Ridges,townhouse,1100-1500 sqft
2230,30 Weekes Drive,3 bd,2 ba,"499,900",L1V2P8,43.868542,-79.060059,Bay Ridges,townhouse,1100-1500 sqft
2231,883 Krosno Boulevard,3 bd,3 ba,"589,000",L1V2P8,43.827377,-79.078079,Bay Ridges,townhouse,
2232,43-1790 Finch Avenue,3 bd,3 ba,"599,000",L1V2P8,43.851948,-79.070335,Bay Ridges,townhouse,1226 sqft
2233,4-1965 Altona Road,3 bd,3 ba,"678,000",L1V2P8,43.833015,-79.143463,Bay Ridges,townhouse,2000-2500 sqft
2234,885 Grenoble Boulevard,3 bd,2 ba,"574,800",L1V2P8,43.82618,-79.082687,Bay Ridges,townhouse,
2235,30 Tozer Crescent,3 bd,4 ba,"599,900",L1V2P8,43.884052,-79.046829,Bay Ridges,townhouse,1500-2000 sqft
2236,1848 Liatris Drive,3 bd,3 ba,"619,898",L1V2P8,43.876347,-79.080666,Bay Ridges,townhouse,
2237,44 Booker Drive,3 bd,3 ba,"569,000",L1V2P8,43.898357,-79.027191,Bay Ridges,townhouse,
2238,217 Old Harwood Avenue,3 bd,3 ba,"600,000",L1V2P8,43.865143,-79.027214,Bay Ridges,townhouse,1500-2000 sqft
2239,69-1775 Valley Farm Road,3 bd,3 ba,"509,900",L1V2P8,43.837574,-79.080231,Bay Ridges,townhouse,
2240,714 Krosno Boulevard,2 bd,2 ba,"489,900",L1V2P8,43.822147,-79.083038,Bay Ridges,townhouse,
2241,20 Stonewood Street,3 bd,3 ba,"539,900",L1V2P8,43.845367,-79.022469,Bay Ridges,townhouse,1500-2000 sqft
2242,1494 Old Forest Road,3 bd,6 ba,"1,899,999",L1V2P8,43.81879,-79.129868,Bay Ridges,townhouse,5000 sqft
2243,124 Atherton Avenue,3 bd,3 ba,"635,000",L1V2P8,43.883842,-79.055168,Bay Ridges,townhouse,1500-2000 sqft
2244,36 Red Fox Place,3 bd,3 ba,"640,000",L1V2P8,43.80806,-79.17952,Bay Ridges,townhouse,
2245,18 Bluebird Place,3 bd,4 ba,"949,000",L1V2P8,43.794956,-79.138893,Bay Ridges,townhouse,
2246,150 Generation Boulevard,3 bd,3 ba,"575,000",L1V2P8,43.804142,-79.163551,Bay Ridges,townhouse,
2247,1985 Bowler Drive,3 bd,3 ba,"599,900",L1V2P8,43.843792,-79.098831,Bay Ridges,townhouse,1500-2000 sqft
2248,1108 Church Street,3 bd,3 ba,"649,999",L1V2P8,43.874016,-79.06382,Bay Ridges,townhouse,1500-2000 sqft
2249,1131 Church Street,3 bd,3 ba,"839,000",L1V2P8,43.873325,-79.063538,Bay Ridges,townhouse,2000-2500 sqft
2250,20 Bluebird Place,3 bd,4 ba,"899,000",L1V2P8,43.794956,-79.138893,Bay Ridges,townhouse,
2251,14 Harperhill Drive,3 bd,4 ba,"568,900",L1V2P8,43.88567,-79.021843,Bay Ridges,townhouse,
2252,1979 Faylee Crescent,2 bd,3 ba,"574,900",L1V2P8,43.842693,-79.091301,Bay Ridges,townhouse,
2253,20 Cedar Avenue,3 bd,4 ba,"1,690,000",M4E3B8,43.674744,-79.287506,The Beaches,house,
2254,136 Silver Birch Avenue,3 bd,3 ba,"2,099,900",M4E3B8,43.67503,-79.286308,The Beaches,house,
2255,103 Balsam Avenue,5 bd,6 ba,"4,890,000",M4E3B8,43.674469,-79.290672,The Beaches,house,5000 sqft
2256,43 Glen Manor Drive,7 bd,6 ba,"2,498,000",M4E3B8,43.670425,-79.29174,The Beaches,house,
2257,311 Harbord Street,5 bd,2 ba,"1,298,800",M6G2Y3,43.659981,-79.416573,Palmerston-Little Italy,townhouse,
2258,256 Grace Street,6 bd,3 ba,"999,888",M6G2Y3,43.658009,-79.417137,Palmerston-Little Italy,townhouse,
2259,44 Cobblestone Drive,4 bd,4 ba,"1,489,000",M2J2S8,43.785973,-79.366409,Don Valley Village,house,
2260,18 O'meara Court,4 bd,4 ba,"1,888,888",M2J2S8,43.785561,-79.364464,Don Valley Village,house,3500-5000 sqft
2261,88 Lesgay Crescent,5 bd,7 ba,"3,188,000",M2J2S8,43.782131,-79.361557,Don Valley Village,house,5000 sqft
2262,24 O'shea Crescent,4 bd,2 ba,"1,420,000",M2J2S8,43.784946,-79.355377,Don Valley Village,house,
2263,131 Rusty Crest Way,3 bd,2 ba,"718,000",M2J2S8,43.787991,-79.355385,Bayview Village,condo,1200-1399 sqft
2264,115 Wild Briarway ,3 bd,2 ba,"739,900",M2J2S8,43.782711,-79.366837,Bayview Village,condo,1200-1399 sqft
2265,40 Tangle Briarway ,3 bd,3 ba,"658,000",M2J2S8,43.783661,-79.367455,Bayview Village,condo,1200-1399 sqft
2266,6368 Alderwood Trail,4 bd,4 ba,"1,074,999",L5N6X3,43.566341,-79.767502,Lisgar,house,
2267,6367 Alderwood Trail,4 bd,4 ba,"1,099,900",L5N6X3,43.566029,-79.767174,Lisgar,house,2500-3000 sqft
2268,6378 Lisgar Drive,4 bd,5 ba,"1,255,000",L5N6X3,43.564957,-79.768486,Lisgar,house,3000-3500 sqft
2269,15 Leameadow Road,4 bd,4 ba,"1,638,880",L4J8V6,43.829494,-79.466148,Patterson,house,3500-5000 sqft
2270,26 Hendel Drive,4 bd,4 ba,"1,050,000",L4J8V6,43.831379,-79.471443,Patterson,house,2000-2500 sqft
2271,322 Summeridge Drive,4 bd,5 ba,"1,998,000",L4J8V6,43.831127,-79.467003,Patterson,house,
2272,201 Autumn Hill Boulevard,5 bd,5 ba,"1,688,000",L4J8V6,43.835995,-79.463936,Patterson,house,
2273,161 Thornhill Woods Drive,5 bd,6 ba,"1,999,800",L4J8V6,43.83054,-79.465424,Patterson,house,
2274,36 Pomander Road,5 bd,8 ba,"4,588,000",L3R2H2,43.869427,-79.31778,Unionville,house,5000 sqft
2275,9 Fonthill Boulevard,4 bd,3 ba,"1,680,000",L3R2H2,43.866005,-79.313866,Unionville,house,
2276,48 Fonthill Boulevard,4 bd,6 ba,"3,950,000",L3R2H2,43.866463,-79.316429,Unionville,house,5000 sqft
2277,27 Fonthill Boulevard,3 bd,2 ba,"1,539,900",L3R2H2,43.866516,-79.313873,Unionville,house,2000-2500 sqft
2278,40 Pomander Road,3 bd,2 ba,"2,999,900",L3R2H2,43.869537,-79.317307,Unionville,house,
2279,22 Cherna Avenue,4 bd,4 ba,"1,699,000",L3R2H2,43.881989,-79.313103,Unionville,house,
2280,180 Krieghoff Avenue,2 bd,3 ba,"1,599,000",L3R2H2,43.867073,-79.317795,Unionville,house,
2281,308 Main Unionville Street,3 bd,3 ba,"2,195,000",L3R2H2,43.875458,-79.313568,Unionville,house,2500-3000 sqft
2282,331-20 Fred Varley Drive,2 bd,3 ba,"1,225,000",L3R2H2,43.86499,-79.312637,Unionville,condo,1400-1599 sqft
2283,Ph1-100 Anna Russell Way,1 bd,2 ba,"399,900",L3R2H2,43.862789,-79.313568,Unionville,condo,1200-1399 sqft
2284,327-20 Fred Varley Drive,2 bd,3 ba,"1,288,000",L3R2H2,43.86499,-79.312637,Unionville,condo,1200-1399 sqft
2285,Ph11-20 Fred Varley Drive,3 bd,3 ba,"2,237,900",L3R2H2,43.86499,-79.312637,Unionville,condo,1800-1999 sqft
2286,228-20 Fred Varley Drive,2 bd,3 ba,"1,568,000",L3R2H2,43.86499,-79.312637,Unionville,condo,1400-1599 sqft
2287,102-20 Fred Varley Drive,2 bd,3 ba,"1,638,800",L3R2H2,43.86499,-79.312637,Unionville,condo,1600-1799 sqft
2288,236-20 Fred Varley Drive,1 bd,1 ba,"810,000",L3R2H2,43.86499,-79.312637,Unionville,condo,700-799 sqft
2289,322-20 Fred Varley Drive,2 bd,3 ba,"848,000",L3R2H2,43.86499,-79.312637,Unionville,condo,900-999 sqft
2290,4624 16th Avenue,3 bd,3 ba,"859,900",L3R2H2,43.880733,-79.310249,Angus Glen,townhouse,
2291,12 Busch Avenue,3 bd,4 ba,"1,060,000",L3R2H2,43.882507,-79.310745,Angus Glen,townhouse,2000-2500 sqft
2292,16 Longridge Way,3 bd,3 ba,"1,059,000",L3R2H2,43.880436,-79.316299,Angus Glen,townhouse,2000-2500 sqft
2293,99 Boulderbrook Drive,4 bd,4 ba,"1,475,000",M1X0A3,43.834171,-79.232826,Rouge E11,house,3000-3500 sqft
2294,2 Hepatica Street,4 bd,5 ba,"1,199,900",M1X0A3,43.833832,-79.230644,Rouge E11,house,2500-3000 sqft
2295,24 Grackle Trail,3 bd,4 ba,"849,000",M1X0A3,43.829159,-79.231964,Rouge E11,house,
2296,2277 Grand Oak Trail,4 bd,4 ba,"1,099,900",L6M4S7,43.430862,-79.7631,West Oak Trails,house,2005 sqft
2297,2277 Grand Oak Trail,3 bd,4 ba,"1,099,900",L6M4S7,43.430862,-79.7631,West Oak Trails,house,1500-2000 sqft
2298,2536 Bracken Drive,5 bd,- ba,"869,900",L6M4S7,43.427303,-79.760597,West Oak Trails,house,1800 sqft
2299,2536 Bracken Drive,4 bd,4 ba,"869,900",L6M4S7,43.427032,-79.760292,West Oak Trails,house,
2300,2020 Grand Oak Trail,4 bd,4 ba,"949,900",L6M4S7,43.426296,-79.756706,West Oak Trails,house,
2301,2404 Fundy Drive,4 bd,3 ba,"969,900",L6M4S7,43.429863,-79.757317,West Oak Trails,house,1870 sqft
2302,2404 Fundy Drive,4 bd,3 ba,"969,900",L6M4S7,43.429939,-79.757401,West Oak Trails,house,1500-2000 sqft
2303,2245 Canonridge Circle,4 bd,4 ba,"1,299,900",L6M4S7,43.432251,-79.759903,West Oak Trails,house,2900 sqft
2304,2245 Canonridge Circle,4 bd,4 ba,"1,299,900",L6M4S7,43.432274,-79.759758,West Oak Trails,house,2500-3000 sqft
2305,2220 Lapsley Crescent,4 bd,4 ba,"1,099,000",L6M4S7,43.430939,-79.762703,West Oak Trails,house,2000-2500 sqft
2306,2368 Gooseberry Way,4 bd,4 ba,"1,325,000",L6M4S7,43.432339,-79.760925,West Oak Trails,house,3290 sqft
2307,2368 Gooseberry Way,4 bd,4 ba,"1,325,000",L6M4S7,43.432343,-79.760712,West Oak Trails,house,3000-3500 sqft
2308,2503 Hemmford Drive,4 bd,4 ba,"1,459,000",L6M4S7,43.426556,-79.75943,West Oak Trails,house,3130 sqft
2309,2503 Hemmford Drive,4 bd,4 ba,"1,459,000",L6M4S7,43.426559,-79.759392,West Oak Trails,house,3000-3500 sqft
2310,2176 Baronwood Drive,3 bd,3 ba,"747,900",L6M4S7,43.428204,-79.763664,West Oak Trails,townhouse,1720 sqft
2311,2176 Baronwood Drive,3 bd,3 ba,"747,900",L6M4S7,43.4282,-79.763657,West Oak Trails,townhouse,
2312,2977 Garnethill Way,3 bd,2 ba,"639,900",L6M4S7,43.428272,-79.764206,West Oak Trails,townhouse,1500-2000 sqft
2313,1-2590 Carberry Way,3 bd,3 ba,"899,900",L6M4S7,43.425827,-79.761383,West Oak Trails,townhouse,1283 sqft
2314,1449 Grosvenor Street,4 bd,3 ba,"1,199,000",L6H2H7,43.482914,-79.687325,Iroquois Ridge South,house,2000-2500 sqft
2315,1375 Lancaster Drive,4 bd,4 ba,"1,129,000",L6H2H7,43.478664,-79.687546,Iroquois Ridge South,house,2000-2500 sqft
2316,59 Yarmouth Road,3 bd,2 ba,"999,000",M6G1T3,43.669712,-79.421684,Dovercourt-Wallace Emerson-Junction,house,2000-2500 sqft
2317,447 Clinton Street,3 bd,2 ba,"1,525,000",M6G1T3,43.666222,-79.417847,Dovercourt-Wallace Emerson-Junction,house,
2318,113 Lio Avenue,4 bd,4 ba,"949,000",L4H1R1,43.820049,-79.622818,Sonoma Heights,house,
2319,187 Monte Carlo Drive,4 bd,5 ba,"1,250,000",L4H1R1,43.819801,-79.618271,Sonoma Heights,house,2500-3000 sqft
2320,55 Via Cristina Way,3 bd,4 ba,"1,129,000",L4H1R1,43.81942,-79.620796,Sonoma Heights,house,2000-2500 sqft
2321,39 South Belair Drive,4 bd,3 ba,"1,098,000",L4H1R1,43.824814,-79.621407,Sonoma Heights,house,2500-3000 sqft
2322,88 South Belair Drive,4 bd,3 ba,"1,190,000",L4H1R1,43.826378,-79.621155,Sonoma Heights,house,3000-3500 sqft
2323,1711-625 The West Mall Street,3 bd,2 ba,"450,000",M9C3T8,43.655788,-79.571365,Eringate-Centennial-West Deane,condo,1600-1799 sqft
2324,1706-625 The West Mall ,3 bd,2 ba,"488,500",M9C3T8,43.655788,-79.571365,Eringate-Centennial-West Deane,condo,1400-1599 sqft
2325,305-625 The West Mall Street,3 bd,2 ba,"429,900",M9C3T8,43.655788,-79.571365,Eringate-Centennial-West Deane,condo,1400-1599 sqft
2326,25 Starcross Court,4 bd,3 ba,"920,000",M9V5C7,43.75526,-79.580116,Thistletown-Beaumonde Heights,house,2356 sqft
2327,25 Starcross Court,4 bd,3 ba,"920,000",M9V5C7,43.755253,-79.580078,Thistletown-Beaumonde Heights,house,
2328,253 Taysham Crescent,3 bd,2 ba,"739,000",M9V5C7,43.739094,-79.573944,Thistletown-Beaumonde Heights,house,
2329,19 Knox Avenue,4 bd,4 ba,"1,788,000",M9V5C7,43.757915,-79.571793,Thistletown-Beaumonde Heights,house,
2330,4 Bagwell Crescent,4 bd,3 ba,"785,000",M9V5C7,43.738262,-79.59314,Thistletown-Beaumonde Heights,house,
2331,87 Kendleton Drive,3 bd,3 ba,"869,888",M9V5C7,43.7388,-79.58271,Thistletown-Beaumonde Heights,house,
2332,21 Davistow Crescent,3 bd,4 ba,"749,000",M9V5C7,43.738342,-79.585823,Thistletown-Beaumonde Heights,house,
2333,148 Rowntree Mill Road,3 bd,1 ba,"949,000",M9V5C7,43.753086,-79.578529,Thistletown-Beaumonde Heights,house,700-1100 sqft
2334,1114-5 Rowntree Road,2 bd,2 ba,"434,999",M9V5C7,43.74955,-79.58075,Mount Olive-Silverstone-Jamestown,condo,1200-1399 sqft
2335,111-41 Markbrook Lane,2 bd,2 ba,"379,900",M9V5C7,43.7584,-79.586472,Mount Olive-Silverstone-Jamestown,condo,900-999 sqft
2336,402-41 Markbrook Lane,2 bd,2 ba,"399,900",M9V5C7,43.7584,-79.586472,Mount Olive-Silverstone-Jamestown,condo,1000-1199 sqft
2337,914-1 Rowntree Road,2 bd,2 ba,"440,000",M9V5C7,43.751129,-79.58287,Mount Olive-Silverstone-Jamestown,condo,1000-1199 sqft
2338,309-5 Rowntree Road,2 bd,2 ba,"415,000",M9V5C7,43.74955,-79.58075,Mount Olive-Silverstone-Jamestown,condo,1200-1399 sqft
2339,1409-1 Rowntree Road,2 bd,2 ba,"459,000",M9V5C7,43.751129,-79.58287,Mount Olive-Silverstone-Jamestown,condo,1200-1399 sqft
2340,316-41 Markbrook Lane,1 bd,2 ba,"369,900",M9V5C7,43.7584,-79.586472,Mount Olive-Silverstone-Jamestown,condo,900-999 sqft
2341,47 Lakeland Drive,4 bd,3 ba,"814,900",M9V5C7,43.73584,-79.575508,Mount Olive-Silverstone-Jamestown,townhouse,
2342,5 Lightwood Drive,3 bd,4 ba,"795,500",M9V5C7,43.737263,-79.572533,Mount Olive-Silverstone-Jamestown,townhouse,
2343,95 Maryhill Drive,3 bd,2 ba,"729,900",M9V5C7,43.753532,-79.59182,Mount Olive-Silverstone-Jamestown,townhouse,
2344,3 Crowling Court,5 bd,5 ba,"1,990,000",L4E4B8,43.951172,-79.470894,Oak Ridges,house,3500-5000 sqft
2345,118 Fern Valley Crescent,4 bd,4 ba,"1,298,000",L4E4B8,43.957523,-79.469841,Oak Ridges,house,
2346,69 Raintree Crescent,4 bd,4 ba,"1,488,800",L4E4B8,43.953949,-79.481354,Oak Ridges,house,
2347,65 Sunridge Street,3 bd,4 ba,"949,900",L4E4B8,43.953274,-79.482246,Oak Ridges,house,
2348,17 Raintree Crescent,4 bd,5 ba,"1,327,000",L4E4B8,43.951122,-79.48101,Oak Ridges,house,
2349,52 Coral Crescent,4 bd,3 ba,"858,000",L4E4B8,43.952538,-79.475685,Oak Ridges,house,
2350,6 Jocada Court,4 bd,3 ba,"1,029,000",L4E4B8,43.956421,-79.480209,Oak Ridges,house,2000-2500 sqft
2351,22 Fern Valley Crescent,4 bd,4 ba,"1,360,000",L4E4B8,43.958611,-79.472435,Oak Ridges,house,
2352,30 Woodhaven Crescent,3 bd,4 ba,"1,169,000",L4E4B8,43.951023,-79.47683,Oak Ridges,house,1500-2000 sqft
2353,8 Amaryllis Avenue,4 bd,4 ba,"899,900",L4E4B8,43.95295,-79.481819,Oak Ridges,house,2000-2500 sqft
2354,33 Bloomfield Trail,5 bd,4 ba,"1,588,800",L4E4B8,43.958263,-79.469292,Oak Ridges,house,3000-3500 sqft
2355,44 Deerwood Crescent,4 bd,4 ba,"968,000",L4E4B8,43.952728,-79.477356,Oak Ridges,house,
2356,7 Silverdart Crescent,3 bd,3 ba,"759,000",L4E4B8,43.952789,-79.482857,Oak Ridges,townhouse,
2357,61 Kalmar Crescent,3 bd,4 ba,"799,000",L4E4B8,43.955036,-79.483948,Oak Ridges,townhouse,1500-2000 sqft
2358,8372 Islington Avenue,1 bd,3 ba,"1,499,000",L4L1R2,43.797451,-79.585014,Islington Woods,house,
2359,12 Woodview Road,3 bd,2 ba,"1,099,000",L4L1R2,43.797485,-79.579941,Islington Woods,house,
2360,102-245 Pine Grove Road,2 bd,2 ba,"568,888",L4L1R2,43.797302,-79.584053,Islington Woods,condo,900-999 sqft
2361,Ph5-8201 Islington Avenue,2 bd,3 ba,"1,175,000",L4L1R2,43.793514,-79.583611,Islington Woods,condo,2000-2249 sqft
2362,86 Crandall Drive,4 bd,4 ba,"1,048,000",L3P7M8,43.88472,-79.27636,Raymerville,house,
2363,53 Rainsford Road,3 bd,3 ba,"889,900",L3P7M8,43.884632,-79.276718,Raymerville,house,1500-2000 sqft
2364,500 Raymerville Drive,4 bd,5 ba,"1,237,777",L3P7M8,43.884212,-79.28212,Raymerville,house,
2365,136 Westside Drive,4 bd,3 ba,"1,149,000",L6K2X3,43.441471,-79.680664,1002 - CO Central,house,
2366,148 Stewart Street,2 bd,2 ba,"749,900",L6K2X3,43.443245,-79.684608,1002 - CO Central,house,
2367,174 Maurice Drive,4 bd,4 ba,"1,248,800",L6K2X3,43.438473,-79.680557,1002 - CO Central,house,2314 sqft
2368,174 Maurice Drive,4 bd,4 ba,"1,248,800",L6K2X3,43.438473,-79.680557,1002 - CO Central,house,2000-2500 sqft
2369,299 Pinegrove Road,6 bd,3 ba,"1,198,000",L6K2X3,43.439384,-79.687088,1002 - CO Central,house,1915 sqft
2370,299 Pinegrove Road,3 bd,3 ba,"1,198,000",L6K2X3,43.439388,-79.687088,1002 - CO Central,house,2500-3000 sqft
2371,394 St Augustine Drive,3 bd,2 ba,"859,000",L6K2X3,43.444096,-79.687813,1002 - CO Central,house,1100-1500 sqft
2372,137 Stewart Street,2 bd,1 ba,"724,900",L6K2X3,43.443748,-79.684731,1002 - CO Central,house,943 sqft
2373,261 Maurice Drive,4 bd,4 ba,"1,480,000",L6K2X3,43.440838,-79.683334,1002 - CO Central,house,3000-3500 sqft
2374,228 Maurice Drive,3 bd,1 ba,"999,000",L6K2X3,43.439709,-79.682594,1002 - CO Central,house,1230 sqft
2375,228 Maurice Drive,- bd,- ba,"999,000",L6K2X3,43.439709,-79.682594,1002 - CO Central,house,1100-1500 sqft
2376,204-459 Kerr Street,1 bd,1 ba,"354,900",L6K2X3,43.445938,-79.68528,Old Oakville,condo,565 sqft
2377,204-459 Kerr Street,1 bd,1 ba,"354,900",L6K2X3,43.44603,-79.685257,Old Oakville,condo,500-599 sqft
2378,#1-223 Rebecca Street,2 bd,3 ba,"1,167,800",L6K2X3,43.437389,-79.680382,Old Oakville,condo,2000-2249 sqft
2379,401-70 Stewart Street,2 bd,2 ba,"449,900",L6K2X3,43.444847,-79.68235,Old Oakville,condo,917 sqft
2380,1-223 Rebecca Street,3 bd,3 ba,"1,167,800",L6K2X3,43.437527,-79.680359,Old Oakville,townhouse,2000 sqft
2381,218 Rebecca Street,4 bd,4 ba,"1,369,000",L6K2X3,43.437386,-79.680046,Old Oakville,townhouse,3340 sqft
2382,218 Rebecca Street,3 bd,4 ba,"1,369,000",L6K2X3,43.437382,-79.679962,Old Oakville,townhouse,3000-3500 sqft
2383,1124 Highgate Place,3 bd,4 ba,"999,000",L4W3G1,43.624329,-79.617813,Rathwood,house,
2384,4205 Preston Trail,4 bd,5 ba,"1,375,000",L4W3G1,43.621071,-79.616974,Rathwood,house,2500-3000 sqft
2385,4291 Highgate Crescent,4 bd,3 ba,"959,900",L4W3G1,43.624691,-79.614082,Rathwood,house,
2386,877 Joe Persechini Drive,3 bd,3 ba,"628,800",L3X2S6,44.027573,-79.476273,Summerhill Estates,townhouse,1500-2000 sqft
2387,125 Coleridge Drive,3 bd,3 ba,"639,900",L3X2S6,44.031166,-79.475983,Summerhill Estates,townhouse,
2388,192 Coleridge Drive,3 bd,3 ba,"629,900",L3X2S6,44.032104,-79.476837,Summerhill Estates,townhouse,
2389,106 Burgess Crescent,3 bd,3 ba,"649,900",L3X2S6,44.030422,-79.475304,Summerhill Estates,townhouse,1500-2000 sqft
2390,98 Willowbrook Drive,3 bd,4 ba,"685,000",L1R1S6,43.907894,-78.950592,Pringle Creek,house,1500-2000 sqft
2391,48 Greenbush Place,4 bd,4 ba,"939,900",L1R1S6,43.910709,-78.946213,Pringle Creek,house,
2392,67 Willowbrook Drive,4 bd,5 ba,"939,990",L1R1S6,43.905796,-78.949089,Pringle Creek,house,3000-3500 sqft
2393,1-114 Petra Way,2 bd,1 ba,"379,900",L1R1S6,43.903957,-78.94812,Pringle Creek,condo,
2394,2-19 Petra Way,2 bd,1 ba,"399,900",L1R1S6,43.903339,-78.948303,Pringle Creek,condo,900-999 sqft
2395,1-114 Petra Way,2 bd,1 ba,"379,900",L1R1S6,43.903957,-78.94812,Pringle Creek,condo,900-999 sqft
2396,44 Martin Byrne Drive,4 bd,4 ba,"1,399,000",L6P0A2,43.811668,-79.72654,Toronto Gore Rural Estate,house,3000-3500 sqft
2397,29 Carl Finlay Drive,5 bd,5 ba,"1,339,800",L6P0A2,43.807732,-79.728683,Toronto Gore Rural Estate,house,3000-3500 sqft
2398,20 Foothills Crescent,5 bd,4 ba,"1,475,000",L6P0A2,43.800861,-79.734657,Toronto Gore Rural Estate,house,3500-5000 sqft
2399,35 Fenton Way,4 bd,5 ba,"2,499,000",L6P0A2,43.802078,-79.714027,Toronto Gore Rural Estate,house,
2400,28 Hertonia Street,4 bd,4 ba,"1,378,000",L6P0A2,43.811157,-79.728615,Toronto Gore Rural Estate,house,3500-5000 sqft
2401,5 Avatar Crescent,4 bd,4 ba,"1,299,913",L6P0A2,43.814228,-79.73085,Toronto Gore Rural Estate,house,
2402,99 John Carroll Drive,5 bd,4 ba,"1,219,000",L6P0A2,43.813133,-79.733627,Toronto Gore Rural Estate,house,
2403,12286 The Gore Road,3 bd,3 ba,"1,388,000",L6P0A2,43.825558,-79.735268,Toronto Gore Rural Estate,house,1500-2000 sqft
2404,24 Carl Finlay Drive,5 bd,4 ba,"1,209,999",L6P0A2,43.807732,-79.728683,Toronto Gore Rural Estate,house,3000-3500 sqft
2405,16 Mezzo Street,4 bd,4 ba,"1,469,900",L6P0A2,43.816128,-79.724991,Toronto Gore Rural Estate,house,3500-5000 sqft
2406,17 Yellowhammer Crescent,4 bd,5 ba,"1,549,999",L6P0A2,43.808056,-79.734138,Toronto Gore Rural Estate,house,
2407,1 Squire Ellis Drive,5 bd,4 ba,"1,339,000",L6P0A2,43.815018,-79.722298,Toronto Gore Rural Estate,house,3500-5000 sqft
2408,16 Squire Ellis Drive,5 bd,4 ba,"1,499,000",L6P0A2,43.814983,-79.722771,Toronto Gore Rural Estate,house,3500-5000 sqft
2409,14 Venue Road,4 bd,4 ba,"1,368,000",L6P0A2,43.811405,-79.730858,Toronto Gore Rural Estate,house,3500-5000 sqft
2410,34 Markey Court,4 bd,5 ba,"1,999,000",L6P0A2,43.805599,-79.724358,Toronto Gore Rural Estate,house,5000 sqft
2411,21 John Carroll Drive,4 bd,4 ba,"1,349,900",L6P0A2,43.805668,-79.726898,Toronto Gore Rural Estate,house,3000-3500 sqft
2412,6 Venue Road,4 bd,6 ba,"1,299,000",L6P0A2,43.811089,-79.731552,Toronto Gore Rural Estate,house,3000-3500 sqft
2413,25 Jaypeak Road,5 bd,5 ba,"1,399,900",L6P0A2,43.808468,-79.731293,Toronto Gore Rural Estate,house,3500-5000 sqft
2414,20 Moonlight Place,6 bd,8 ba,"2,800,000",L6P0A2,43.805984,-79.720428,Toronto Gore Rural Estate,house,5000+ sqft
2415,28 Bainbridge Avenue,3 bd,3 ba,"1,198,000",M3H2K2,43.750423,-79.439827,Clanton Park,house,1500-2000 sqft
2416,202 Mcallister Road,2 bd,1 ba,"1,218,000",M3H2K2,43.750607,-79.452171,Clanton Park,house,
2417,503 Wilson Heights Boulevard,2 bd,2 ba,"1,200,000",M3H2K2,43.749809,-79.455009,Clanton Park,house,
2418,19 Reiner Road,6 bd,8 ba,"3,890,000",M3H2K2,43.751911,-79.439003,Clanton Park,house,5000 sqft
2419,40 Verwood Avenue,4 bd,5 ba,"2,248,000",M3H2K2,43.75082,-79.441383,Clanton Park,house,3000-3500 sqft
2420,61 York Downs Drive,5 bd,6 ba,"2,450,000",M3H2K2,43.747227,-79.435974,Clanton Park,house,3500-5000 sqft
2421,52 Mcallister Road,4 bd,5 ba,"2,599,000",M3H2K2,43.752804,-79.441666,Clanton Park,house,3500-5000 sqft
2422,93 Alexis Boulevard,4 bd,5 ba,"2,298,000",M3H2K2,43.75288,-79.444786,Clanton Park,house,3500-5000 sqft
2423,105 Mcallister Road,4 bd,5 ba,"2,199,900",M3H2K2,43.751717,-79.445442,Clanton Park,house,
2424,211-1603 Eglinton Avenue,2 bd,3 ba,"924,990",M6E3G9,43.697048,-79.443207,Oakwood-Vaughan,condo,1200-1399 sqft
2425,213-1603 Eglinton Avenue,2 bd,3 ba,"919,990",M6E3G9,43.697048,-79.443207,Oakwood-Vaughan,condo,1200-1399 sqft
2426,107-1603 Eglinton Avenue,2 bd,4 ba,"1,100,000",M6E3G9,43.697048,-79.443207,Oakwood-Vaughan,condo,1200-1399 sqft
2427,14 Elder Avenue,3 bd,1 ba,"789,900",M8V4B7,43.599487,-79.524361,New Toronto,house,
